Args: self-attention-mnist-pgd-small-sim.onnx 14 0.032 lse1 | Runtime: 2.28
Args: self-attention-mnist-pgd-small-sim.onnx 14 0.012 lse2 | Runtime: 2.27
Args: self-attention-mnist-pgd-small-sim.onnx 14 0.016 lse2 | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 14 0.02 lse2 | Runtime: 2.25
Args: self-attention-mnist-pgd-small-sim.onnx 14 0.024 lse2 | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 14 0.032 lse2 | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 14 0.012 er | Runtime: 2.39
Args: self-attention-mnist-pgd-small-sim.onnx 14 0.016 er | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 14 0.02 er | Runtime: 2.37
Args: self-attention-mnist-pgd-small-sim.onnx 14 0.024 er | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 14 0.032 er | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 15 0.012 linear | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 15 0.016 linear | Runtime: 2.37
Args: self-attention-mnist-pgd-small-sim.onnx 15 0.02 linear | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 15 0.024 linear | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 15 0.032 linear | Runtime: 2.39
Args: self-attention-mnist-pgd-small-sim.onnx 15 0.012 lse1 | Runtime: 2.39
Args: self-attention-mnist-pgd-small-sim.onnx 15 0.016 lse1 | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 15 0.02 lse1 | Runtime: 2.42
Args: self-attention-mnist-pgd-small-sim.onnx 15 0.024 lse1 | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 15 0.032 lse1 | Runtime: 2.36
Args: self-attention-mnist-pgd-small-sim.onnx 15 0.012 lse2 | Runtime: 2.36
Args: self-attention-mnist-pgd-small-sim.onnx 15 0.016 lse2 | Runtime: 2.30
